director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,bow
Peter Jackson,Kate Winslet,Jed Brophy,Liz Mullane,Biography Crime Drama Romance Thriller,heavenly creatures,kate winslet jed brophy liz mullane peter jackson biography crime drama romance thriller
Michael Polish,Hayden Christensen,Bobby Batson,Cynthia Barrett,Drama,90 minutes in heaven,hayden christensen bobby batson cynthia barrett michael polish drama
Dan Rush,Will Ferrell,Scott Takeda,Stephen Root,Comedy Drama,everything must go,will ferrell scott takeda stephen root dan rush comedy drama
Jake Kasdan,Kim Dickens,Ryan O'Neal,Angela Featherstone,Comedy Crime Drama Mystery Thriller,zero effect,kim dickens ryan o'neal angela featherstone jake kasdan comedy crime drama mystery thriller
Brad Anderson,Christian Bale,Jennifer Jason Leigh,Reg E. Cathey,Drama Thriller,the machinist,christian bale jennifer jason leigh reg e. cathey brad anderson drama thriller
Paul Schrader,Dana Delany,Jane Adams,David Clennon,Crime Drama,light sleeper,dana delany jane adams david clennon paul schrader crime drama
Michael Cuesta,Jeremy Renner,Paz Vega,Robert Pralgo,Biography Crime Drama Mystery Thriller,kill the messenger,jeremy renner paz vega robert pralgo michael cuesta biography crime drama mystery thriller
John Cameron Mitchell,Dianne Wiest,Jon Tenney,Tammy Blanchard,Drama,rabbit hole,dianne wiest jon tenney tammy blanchard john cameron mitchell drama
Fenton Bailey,Macaulay Culkin,Mia Kirshner,Marilyn Manson,Biography Crime Drama Thriller,party monster,macaulay culkin mia kirshner marilyn manson fenton bailey biography crime drama thriller
Jeremy Saulnier,Alia Shawkat,Mark Webber,Joe Cole,Crime Horror Music Thriller,green room,alia shawkat mark webber joe cole jeremy saulnier crime horror music thriller
Billy Kent,Liza Minnelli,Tim Russ,Winter Ave Zoli,Comedy Drama Romance,the oh in ohio,liza minnelli tim russ winter ave zoli billy kent comedy drama romance
James Manera,Joaquim de Almeida,Greg Germann,Kristoffer Polaha,Drama Mystery Sci-Fi,atlas shrugged: who is john galt?,joaquim de almeida greg germann kristoffer polaha james manera drama mystery sci-fi
Wes Anderson,Andrew Wilson,Darryl Cox,Lumi Cavazos,Comedy Crime Drama,bottle rocket,andrew wilson darryl cox lumi cavazos wes anderson comedy crime drama
Kevin Spacey,Viggo Mortensen,Joe Mantegna,Faye Dunaway,Crime Drama Thriller,albino alligator,viggo mortensen joe mantegna faye dunaway kevin spacey crime drama thriller
Feroz Abbas Khan,Akshaye Khanna,Bhoomika Chawla,Darshan Jariwala,Biography Drama History,"gandhi, my father",akshaye khanna bhoomika chawla darshan jariwala feroz abbas khan biography drama history
Errol Morris,Jeffrey Frost,Megan Ambuhl Graner,Ken Davis,Crime Documentary War,standard operating procedure,jeffrey frost megan ambuhl graner ken davis errol morris crime documentary war
Eli Craig,Katrina Bowden,Tyler Labine,Chelan Simmons,Comedy Horror,tucker and dale vs evil,katrina bowden tyler labine chelan simmons eli craig comedy horror
Nicholas Fackler,Adam Scott,Ellen Burstyn,Martin Landau,Drama Romance,"lovely, still",adam scott ellen burstyn martin landau nicholas fackler drama romance
Richard Wallace,Judith Anderson,Paul Fix,Laraine Day,Adventure Drama Romance,tycoon,judith anderson paul fix laraine day richard wallace adventure drama romance
Morgan J. Freeman,Ethan Suplee,John Heard,Sara Gilbert,Drama,desert blue,ethan suplee john heard sara gilbert morgan j. freeman drama
Matthew Hastings,Meghan Ory,Marc Trottier,Corey Sevier,Comedy Horror Sci-Fi,decoys,meghan ory marc trottier corey sevier matthew hastings comedy horror sci-fi
M. Night Shyamalan,Ocean James,Patch Darragh,Olivia DeJonge,Horror Thriller,the visit,ocean james patch darragh olivia dejonge m. night shyamalan horror thriller
Brian De Palma,Mike Figueroa,Daniel Stewart Sherman,Kel O'Neill,Crime Thriller War,redacted,mike figueroa daniel stewart sherman kel o'neill brian de palma crime thriller war
Klaus Menzel,Adam Garcia,Jacqueline Bisset,Alice Evans,Mystery Romance Thriller,fascination,adam garcia jacqueline bisset alice evans klaus menzel mystery romance thriller
Oren Peli,Glenn Campbell,Sandra Staggs,Jelena Nik,Horror Sci-Fi Thriller,area 51,glenn campbell sandra staggs jelena nik oren peli horror sci-fi thriller
Jaume Balagueró,Luis Tosar,Tony Corvillo,Marta Etura,Drama Horror Thriller,sleep tight,luis tosar tony corvillo marta etura jaume balagueró drama horror thriller
Paul Andrew Williams,Dave Legeno,Doug Bradley,Georgia Groome,Comedy Crime Horror Thriller,the cottage,dave legeno doug bradley georgia groome paul andrew williams comedy crime horror thriller
Stephen Herek,Henry Ian Cusick,Callum Blue,Shenae Grimes-Beech,Comedy Drama Fantasy,dead like me: life after death,henry ian cusick callum blue shenae grimes-beech stephen herek comedy drama fantasy
Bob Saget,Alyson Hannigan,John Stamos,Jim Belushi,Animation Comedy,farce of the penguins,alyson hannigan john stamos jim belushi bob saget animation comedy
Jim Amatulli,Heather Locklear,Patricia Neal,Katie Leclerc,Drama Family Music,flying by,heather locklear patricia neal katie leclerc jim amatulli drama family music
,Corbin Bernsen,Dulé Hill,Timothy Omundson,Comedy Crime Mystery,psych            ,
William H. Macy,Billy Crudup,Felicity Huffman,David Adam Flannery,Comedy Drama Music,rudderless,billy crudup felicity huffman david adam flannery william h. macy comedy drama music
Barrett Esposito,Chazz Palminteri,Cyndi Lauper,Danny Aiello,Animation Family,henry & me,chazz palminteri cyndi lauper danny aiello barrett esposito animation family
